ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849017::Attribute,1075849148::Comments,1075849176::Physical Name
1075838981::156,Movie Title,Column,,Movie Title,,,Movie Title
1075838981::179,Description,Column,A brief description of the movie’s plot or story line,Description,,A brief description of the movie’s plot or story line,Description
1075838981::181,Rating,Column,Rating associated with the movie,Rating,,Rating associated with the movie,Rating
1075838981::183,Movie Number,Column,A unique number that identifies a movie,Movie Number,,A unique number that identifies a movie,Movie Number
1075838981::185,Genre,Column,The genre associated with the movie,Genre,,The genre associated with the movie,Genre
1075838981::187,Catalog ID,Column,A unique number associated with a Catalog ,Catalog ID,,A unique number associated with a Catalog ,Catalog ID
1075838981::244,Customer Number,Column,A unique number associated with Customer,Customer Number,,A unique number associated with Customer,Customer Number
1075838981::246,Customer Address,Column,Street address of the customer,Customer Address,,Street address of the customer,Customer Address
1075838981::247,Customer City,Column,City associated with Customer’s address,Customer City,,City associated with Customer’s address,Customer City
1075838981::248,Customer First Name,Column,First name of a Customer,Customer First Name,,First name of a Customer,Customer First Name
1075838981::249,Customer Last Name,Column,Last name of a Customer,Customer Last Name,,Last name of a Customer,Customer Last Name
1075838981::250,Customer State,Column,The two-character state abbreviation associated with customer’s address,Customer State,,The two-character state abbreviation associated with customer’s address,Customer State
1075838981::251,Customer Zip Code,Column,zip-code associated with Customer’s address,Customer Zip Code,,zip-code associated with Customer’s address,Customer Zip Code
1075838981::252,Email,Column,The email address associated with a customer,Email,,The email address associated with a customer,Email
1075838981::264,Customer Number,Column,A unique number associated with Customer,Customer Number,,A unique number associated with Customer,Customer Number
1075838981::266,Credit Card,Column,A credit card number associated with Customer,Credit Card,,A credit card number associated with Customer,Credit Card
1075838981::267,Credit Card Exp,Column,Expiration date on the customer’s credit card,Credit Card Exp,,Expiration date on the customer’s credit card,Credit Card Exp
1075838981::268,Status Code,Column,Payment status associated with a Customer,Status Code,,Payment status associated with a Customer,Status Code
1075838981::279,Credit Card,Column,A credit card number associated with Customer,Credit Card,,A credit card number associated with Customer,
1075838981::280,Credit Card Exp,Column,Expiration date on the customer’s credit card,Credit Card Exp,,Expiration date on the customer’s credit card,
1075838981::281,Status Code,Column,Payment status associated with a Customer,Status Code,,Payment status associated with a Customer,
1075838981::283,Cust Number,Column,A unique number associated with Customer,Cust Number,,A unique number associated with Customer,
1075838981::284,Cust Address,Column,Street address of the customer,Cust Address,,Street address of the customer,
1075838981::285,Cust City,Column,City associated with Customer’s address,Cust City,,City associated with Customer’s address,
1075838981::286,Cust First Name,Column,First name of a Customer,Cust First Name,,First name of a Customer,
1075838981::287,Cust Last Name,Column,Last name of a Customer,Cust Last Name,,Last name of a Customer,
1075838981::288,Cust State,Column,The two-character state abbreviation associated with customer’s address,Cust State,,The two-character state abbreviation associated with customer’s address,
1075838981::289,Cust Zip Code,Column,zip-code associated with Customer’s address,Cust Zip Code,,zip-code associated with Customer’s address,
1075838981::290,Email,Column,The email address associated with a customer,Email,,The email address associated with a customer,
1075838981::301,Movie Title,Column,,Movie Title,,,
1075838981::303,Credit Card,Column,A credit card number associated with Customer,Credit Card,,A credit card number associated with Customer,
1075838981::304,Credit Card Exp,Column,Expiration date on the customer’s credit card,Credit Card Exp,,Expiration date on the customer’s credit card,
1075838981::305,Status Code,Column,Payment status associated with a Customer,Status Code,,Payment status associated with a Customer,
1075838981::306,,Column,,,,,
1075838981::308,Cust Number,Column,A unique number associated with Customer,Cust Number,,A unique number associated with Customer,
1075838981::309,Cust Address,Column,Street address of the customer,Cust Address,,Street address of the customer,
1075838981::310,Cust City,Column,City associated with Customer’s address,Cust City,,City associated with Customer’s address,
1075838981::311,Cust First Name,Column,First name of a Customer,Cust First Name,,First name of a Customer,
1075838981::312,Cust Last Name,Column,Last name of a Customer,Cust Last Name,,Last name of a Customer,
1075838981::313,Cust State,Column,The two-character state abbreviation associated with customer’s address,Cust State,,The two-character state abbreviation associated with customer’s address,
1075838981::314,Cust Zip Code,Column,zip-code associated with Customer’s address,Cust Zip Code,,zip-code associated with Customer’s address,
1075838981::315,Email,Column,The email address associated with a customer,Email,,The email address associated with a customer,
1075838981::325,,Column,,,,,
1075838981::340,Payment Transaction Number,Column,A unique number associated with the payment,Payment Transaction Number,,A unique number associated with the payment,Payment Transaction Number
1075838981::343,Payment Amount,Column,The amount paid to rent the movie,Payment Amount,,The amount paid to rent the movie,Payment Amount
1075838981::344,Payment Date,Column,The date on which the movie was rented,Payment Date,,The date on which the movie was rented,Payment Date
1075838981::345,Payment Status,Column,The status of the payment,Payment Status,,The status of the payment,Payment Status
1075838981::350,Credit Card Number,Column,The number of the customer credit card,Credit Card Number,,The number of the customer credit card,Credit Card Number
1075838981::351,Credit Card Exp,Column,Expiration date on the customer’s credit card,Credit Card Exp,,Expiration date on the customer’s credit card,Credit Card Exp
1075838981::352,Credit Card Type,Column,,Credit Card Type,,,Credit Card Type
1075838981::359,Customer No,Column,A unique number associated with a customer,Customer No,,A unique number associated with a customer,Customer No
1075838981::363,Customer Number,Column,A unique number associated with a customer,Customer Number,,A unique number associated with a customer,Customer Number
